y/delta                    y^+                   Production          Turbulent_Transport        Viscous_Transport       Pressure_Strain         Pressure_Transport         Viscous_Dissipation           Balance
3.481896092001469e-02    3.235117984441154e+00    3.815517146672606e-02    3.871044562221231e-02    7.875561942707794e-02    0.000000000000000e+00    2.182529507630645e-02    1.774446883926233e-01    1.843199699452791e-06
4.180012015567314e-02    3.883755198153751e+00    6.106472812333479e-02    4.934007651360723e-02    3.618976477259132e-02    0.000000000000000e+00    2.080614290975885e-02    1.673982705983456e-01    2.441720946572135e-06
4.942717260268714e-02    4.592403988572638e+00    9.034322545212778e-02    5.418501393140115e-02   -5.735560184811693e-03    0.000000000000000e+00    1.930863437594915e-02    1.580982044918642e-01    3.109082802182916e-06
5.769497709844340e-02    5.360586677237812e+00    1.241529449998575e-01    5.021922760174231e-02   -4.111602074819463e-02    0.000000000000000e+00    1.746333564683464e-02    1.507156513306221e-01    3.836169617743579e-06
6.659796056898437e-02    6.187785455710644e+00    1.593318470540014e-01    3.694659019300256e-02   -6.572610610458243e-02    0.000000000000000e+00    1.535602730415172e-02    1.459038040914512e-01    4.554355121977327e-06
7.613012178564638e-02    7.073442734612656e+00    1.921165600883219e-01    1.664400313859937e-02   -7.825808496258277e-02    0.000000000000000e+00    1.304356726998938e-02    1.435408480848504e-01    5.197449477439831e-06
8.628503541030430e-02    8.016961519479471e+00    2.190989082380101e-01   -6.657022785221810e-03   -8.013652776169601e-02    0.000000000000000e+00    1.058106837425355e-02    1.428806584164604e-01    5.767648885351973e-06
9.705585632649549e-02    9.017705813176516e+00    2.380069219327083e-01   -2.872536766671433e-02   -7.438381568570405e-02    0.000000000000000e+00    8.044323777946798e-03    1.429358455506376e-01    6.216807599074281e-06
1.084353242535030e-01    1.007500104460520e+01    2.480349408047919e-01   -4.639235902609391e-02   -6.433295586122724e-02    0.000000000000000e+00    5.536513273626701e-03    1.428397492393384e-01    6.389951758861701e-06
1.204157686402891e-01    1.118813452341071e+01    2.497026708416003e-01   -5.809232354104440e-02   -5.274532253348189e-02    0.000000000000000e+00    3.177648007850909e-03    1.420362330303190e-01    6.439744605929443e-06
1.329891138359783e-01    1.235635592038466e+01    2.444206246895538e-01   -6.373328743734516e-02   -4.147224275811144e-02    0.000000000000000e+00    1.083537464228300e-03    1.402919792121484e-01    6.652746177143731e-06
1.461468845334070e-01    1.357887777323914e+01    2.339904664032815e-01   -6.420783991362135e-02   -3.151060358693129e-02    0.000000000000000e+00   -6.557276110676444e-04    1.376093508169875e-01    6.944474673697965e-06
1.598802114820680e-01    1.485487601741089e+01    2.202030889163837e-01   -6.085272491717419e-02   -2.323380886584316e-02    0.000000000000000e+00   -1.990009022667298e-03    1.341196019786965e-01    6.944132002334458e-06
1.741798374666018e-01    1.618349054153805e+01    2.045959843830185e-01   -5.503653032312342e-02   -1.663964086365703e-02    0.000000000000000e+00   -2.912926789184137e-03    1.300003219850721e-01    6.564421981686275e-06
1.890361235468010e-01    1.756382576723481e+01    1.883558999154274e-01   -4.792348073140951e-02   -1.154305195188514e-02    0.000000000000000e+00   -3.456454314380597e-03    1.254266588461068e-01    6.254071645422909e-06
2.044390555549258e-01    1.899495125277351e+01    1.723203488910831e-01   -4.038638313377550e-02   -7.697598126902929e-03    0.000000000000000e+00   -3.679915509977434e-03    1.205504100190457e-01    6.042101381623088e-06
2.203782508459474e-01    2.047590232026682e+01    1.570302224228712e-01   -3.301507731650971e-02   -4.854977520040273e-03    0.000000000000000e+00   -3.657042176984749e-03    1.154975829370547e-01    5.542472281766520e-06
2.368429652961714e-01    2.200568070592766e+01    1.427982380588318e-01   -2.616502257549883e-02   -2.792347295095962e-03    0.000000000000000e+00   -3.464286554007602e-03    1.103716905090648e-01    4.891125164566135e-06
