Actual Pressure Strain,Predicted Pressure Strain
0.000156222910583318,3.872164977804485e-05
0.01312576453071504,0.012967641584187325
6.7090621843648e-05,4.018757237630654e-05
8.058462367119e-06,3.807246533853462e-05
0.000250390742023425,0.00019378673850181503
4.224433051402e-05,3.872164977804485e-05
0.0,0.0
6.484789487589e-06,3.807246533853462e-05
-0.06405967900531918,-0.06751448862128216
0.0245635906431217,0.023960763102597343
0.0,-3.0212743352404958e-05
-0.000996493291632725,-0.0008589470299363854
0.0,1.0237279819541063e-07
1.785401882243e-06,3.807246533853462e-05
-0.02751194814413545,-0.02884348499629257
9.455072949502e-06,3.807246533853462e-05
0.000191505826611013,0.00011859488925357432
-0.004211465885083013,-0.004172762214573735
2.9713804210869e-05,3.807246533853462e-05
0.0,-0.0002702210653404561
0.006139772340777952,0.006179289016018492
0.0,3.807246533853462e-05
9.3175835469102e-05,3.807246533853462e-05
0.0,-0.00031068472703083173
-0.000135747474468082,3.872164977804485e-05
0.004926427950189096,0.004991295827873335
0.06110424219645223,0.06135018054626665
0.000142462855601981,4.390491481999646e-05
1.2209703403301e-05,3.807246533853462e-05
0.00473547987542289,0.004662210067876574
0.125004291468345,0.11679589398717029
7.804798265432e-06,3.807246533853462e-05
0.000370517740216087,0.0004598250026692724
0.000364417826868674,0.0003823515075605013
0.006694120812698902,0.00669920263229909
3.7875998232702e-05,3.872164977804485e-05
9.7126901327799e-05,3.872164977804485e-05
0.000801736788182299,0.0007649268690828133
7.848800109264e-06,3.807246533853462e-05
1.780592839333e-06,3.807246533853462e-05
3.6168485269141e-05,3.807246533853462e-05
7.153405567664e-06,3.807246533853462e-05
3.69940783719e-06,3.807246533853462e-05
-0.005508847348332904,-0.0054579735741786106
